id,brand,name,price,image_link,product_link,website_link,description,rating,category,product_type,colour_name
495,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Bronzer,14.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/991799d3e70b8856686979f8ff6dcfe0_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88837.html,https://well.ca,"Maybelline Face Studio Master Hi-Light Light Boosting bronzer formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",5,,bronzer,
488,maybelline,Maybelline Fit Me Bronzer,10.29,"https://d3t32hsnjxo7q6.cloudfront.net/i/d4f7d82b4858c622bb3c1cef07b9d850_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-bronzer_31265.html,https://well.ca,"Why You'll Love It

Lightweight pigments blend easily and wear evenly
Provides a natural, fade-proof bronzed color that leaves skin the way it was meant to be...fresh, breathing and natural

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.5,,bronzer,Medium Bronze 
477,maybelline,Maybelline Facestudio Master Contour Kit,15.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/4f731de249cbd4cb819ea7f5f4cfb5c3_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-facestudio-master-contour_120303.html?cat=328,https://well.ca,"Maybelline Facestudio Master Contour Kit is the ultimate on the go all-in-one palette, with contouring brush included.  Define and highlight in a New York minute with this effortless 3-step face contouring kit.  This easy-to-use 3-step face contouring kit features a bronzer, blush and highlighter.",,,bronzer,
468,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush,14.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/4621032a92cb428ad640c105b944b39c_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88831.html,https://well.ca,"Maybelline Face Studio Master Hi-Light Light Boosting blush formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",,powder,blush,
452,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Blush ,14.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/e8c59b78ebeaec5c4b6aeba49a9ff0f6_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-face-studio-master_88836.html,https://well.ca,"Maybelline Face Studio Master Hi-Light Light Boosting blush formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",5,powder,blush,
439,maybelline,Maybelline Fit Me Blush,10.29,"https://d3t32hsnjxo7q6.cloudfront.net/i/53d5f825461117c0d96946e1029510b0_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-blush_31269.html,https://well.ca,"Maybelline Fit Me Blush has lightweight pigments blend easily and wear evenly. It provides a natural, fade-proof cheek color that leaves skin the way it was meant to be...fresh, breathing, and natural.

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.8,powder,blush,"Deep Coral,  Deep Rose, Deep Wine, Light Rose, Medium Coral,  Medium Nude, Medium Pink "
414,maybelline,Maybelline Dream Bouncy Blush,11.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/51eacb9efebbaee39399e65ffe3d9416_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-bouncy-blush_50689.html,https://well.ca,"Now, blush has bounce! Freshest flush ever:• New bouncy texture is formulated with silicone elastomers• Lightweight like a powder, yet melts seamlessly into skin like a cream giving you a fresh flush• Dermatologist tested• Allergy tested• Non-comedogenic
                    
                    
                    
                        
                        For best results: With your fingertips, blend a small amount of
 blush onto the apples of your cheeks, applying from your cheekbones to 
your temples. To build colour intensity, apply more blush. 
                    ",4.5,cream,blush,"Fresh Pink, Hot Tamale, Peach Satin, Plum Wine "
398,maybelline,Maybelline Color Sensational Lipliner,8.29,"https://d3t32hsnjxo7q6.cloudfront.net/i/6607c1b7eb717dfbd3c228b61e4c5148_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-color-sensational_14541.html,https://well.ca,"Keep your Maybelline lip color beautiful with matching lip liners that won't smudge, smear or bleed for smooth, defined lips. For best results: Line your lips starting in the center of your upper lip. Work from the 
center to outer edges of your lips using small strokes, following the 
contour of your mouth. Follow the same technique for your bottom lip. To
 extend the wear of your favorite lip color or lip gloss, first fill in 
your lips completely with lip liner. ",3.5,,lip_liner,"Nude, Plum, Raisin, Toast "
382,maybelline,Maybelline Dream Smooth Mousse Foundation,14.79,"https://d3t32hsnjxo7q6.cloudfront.net/i/fb79e7facf701176d4113527c284613f_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-smooth-mousse_28944.html,https://well.ca,"Why You'll Love ItUnique cream-whipped foundation provides 100% baby-smooth perfection.

Skin looks and feels hydrated for 14 hours - never rough or dry
Lightweight formula provides perfectly moisturizing coverage
Blends seamlessly and feels fresh all-day
Oil-free, Fragrance-free, Dermatologist Tested, Allergy Tested, Non-comedogenic – won’t clog pores.
Safe for sensitive skin

 ",3.8,cream,foundation,
380,maybelline,Maybelline Fit Me Shine-Free Foundation Stick,10.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/d04e7c2ed65dabe1dca4eed9aa268e95_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-fit-me-shine-free_79864.html,https://well.ca,"Get flawless, shine-free skin instantly and on-the-go for tailor-made 
mattifying coverage.  The anti-shine core has ultra-lightweight powders 
built in to the stick foundation to instantly dissolve excess oil. Features: Maybelline's first gel stick foundation with an anti-shine core
Fresh gel foundation blends to a flawless matte finish
Lightweight powders in the anti-shine core instantly dissolve excess oil",4.7,cream,foundation,"Porcelain (110), Ivory (115), Classic Ivory (120),Natural Beige (220), Toffee (330), Coconut (355) "
379,maybelline,Maybelline Dream Matte Mousse Foundation,14.79,"https://d3t32hsnjxo7q6.cloudfront.net/i/029889b345c76a70e8bb978b73ed1a87_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-matte-mousse_3747.html,https://well.ca,"Maybelline Dream Matte Mouse Foundation is a revolutionary air-soft mousse that provides perfecting coverage for 100% velvet-matte complexion. It's non-comedogenic, fragrance-free, dermatologist-tested, allergy-tested and ideal for normal to oily skin.For best results: Apply smoothly and evenly to your face and blend with your fingertips.﻿

 ",4.4,cream,foundation,"Classic Ivory, Light Beige, Nude, Porcelain, Ivory, Pure Beige, Sandy Beige "
366,maybelline,Maybelline Mineral Power Natural Perfecting Powder Foundation,14.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/c77ad2da76259cfd67a9a9432f635bfb_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-mineral-power-natural_5900.html?cat=582,https://well.ca,"Why You'll Love ItMineral Power Powder Foundation with micro-minerals provides a more natural, healthier, luminous look.
Discover the natural power of micro-minerals:
100% natural mica creates a more natural luminosity Complete, yet refined coverage Provides buildable, even coverage Preservative-free, talc-free, oil-free, fragrance-free Medium to Full Coverage",3.9,mineral,foundation,Classic Ivory 
354,maybelline,Maybelline Dream Velvet Foundation,18.49,"https://d3t32hsnjxo7q6.cloudfront.net/i/24517c6c81c92eda31cd32b6327c1298_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-velvet-foundation_112738.html?cat=581,https://well.ca,"This Maybelline Dream Velvet Foundation is a refreshing gel-whipped foundation that leaves complexion perfected and smooth with a velvety, soft-matte finish. Skin stays hydrated for 12 hours. Features:Maybelline’s first hydrating matte foundation for 100% velvet-smooth perfectionUnique gel-whipped formulaIdeal for normal to combination skin, medium coverage For best results apply Maybelline Dream Velvet Foundation using Maybelline Dream Blender",2.5,cream,foundation,"Caramel, Classic Ivory, Coconut, Creamy Natural,  Honey Beige, Ivory, Natural Beige, Nude,  Porcelain Ivory, Pure Beige, Sandy Beige,  Warm Porcelain "
353,maybelline,Maybelline Superstay Better Skin Foundation ,14.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/c7d967ef502ecd79ab7ab466c4952d82_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-superstay-better-skin_112548.html,https://well.ca,"The Maybelline Superstay Better Skin Foundation reduces the appearance of spots, bumps, dullness and redness to give you brighter, smoother and more even skin. Features:Longwear that improves skin every minute you're in it: brighter, smoother and more even.With micro-flex technology and the antioxidant power of Actyl-C.Ideal for sensitive skin. Good for all skin types. Medium to full coverageHow to Apply: Apply evenly to your face and blend with your fingers. ",3,liquid,foundation,"Coconut,  Ivory, Porcelain, Rich Tan,  Sun Beige  "
339,maybelline,Maybelline Dream Wonder Liquid Touch Foundation,14.99,"https://d3t32hsnjxo7q6.cloudfront.net/i/ccb99ad6ac7f31a2a73454bdbda01d99_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/maybelline-dream-wonder-liquid-touch_96732.html,https://well.ca,"Maybelline Dream Wonder Liquid Touch Foundation's breakthrough texture fuses with skin. A finish so impeccable, yet undetectable.Features:Exclusive dropperMedium to full coverage, ideal for normal skinFor Best Results: Shake well. Unscrew cap. Holding dropper vertically, allow foundation to drop onto fingertip. Apply to face as usual.",,liquid,foundation,Sun Beige (85) 
321,maybelline,Maybelline Dream Liquid Mousse,14.79,"https://d3t32hsnjxo7q6.cloudfront.net/i/1ca6a4a442b9aa6b5f3d94da77d8846c_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-dream-liquid-mousse_12303.html,https://well.ca,"Airbrushed perfection made possible:Air-whipped liquid makeup for 100% poreless skin

Breakthrough finish cushions and smooths for the most flawless, luminous coverage
Lightweight air-whipped formula blends to virtually eliminate pores and imperfections
Innovative shade-match pump makes finding your perfect shade a dream 
",4.4,liquid,foundation,"Classic Ivory (Light 2), Natural Beige (Medium 2.5), Natural Ivory (Light 3), Porcelain Ivory (Light 1), Pure Beige (Medium 2) "
